date,nav
2014-12-31,100.0
2015-01-31,109.7192
2015-02-28,109.0308
2015-03-31,107.0832
2015-04-30,102.6291
2015-05-31,104.5132
2015-06-30,102.3146
2015-07-31,98.802
2015-08-31,88.3586
2015-09-30,87.9026
2015-10-31,87.7921
2015-11-30,79.7099
2015-12-31,84.6007
2016-01-31,74.5121
2016-02-29,75.9179
2016-03-31,90.6018
2016-04-30,91.9239
2016-05-31,96.5957
2016-06-30,90.9628
2016-07-31,102.2089
2016-08-31,103.9599
2016-09-30,100.2513
2016-10-31,103.2689
2016-11-30,137.2721
2016-12-31,152.354
2017-01-31,151.8425
2017-02-28,144.0291
2017-03-31,160.9261
2017-04-30,159.8478
2017-05-31,182.126
2017-06-30,188.1281
2017-07-31,190.1876
2017-08-31,190.4393
2017-09-30,203.3796
2017-10-31,202.8557
2017-11-30,212.8198
2017-12-31,212.5988
2018-01-31,224.1504
2018-02-28,231.4543
2018-03-31,250.3851
2018-04-30,270.8561
2018-05-31,251.1123
2018-06-30,249.2908
2018-07-31,241.388
2018-08-31,243.5135
2018-09-30,240.4736
2018-10-31,211.927
2018-11-30,216.974
2018-12-31,216.3638
2019-01-31,236.4125
2019-02-28,246.488
2019-03-31,248.525
2019-04-30,245.6268
2019-05-31,239.2138
2019-06-30,251.2299
2019-07-31,239.6606
2019-08-31,259.1606
2019-09-30,242.062
2019-10-31,244.8444
2019-11-30,234.8596
2019-12-31,228.9408
2020-01-31,236.664
2020-02-29,218.8096
2020-03-31,162.6149
2020-04-30,177.2168
2020-05-31,169.1796
2020-06-30,198.006
2020-07-31,193.8817
2020-08-31,207.6666
2020-09-30,204.4088
2020-10-31,192.845
2020-11-30,213.0399
2020-12-31,213.7868
2021-01-31,225.8545
2021-02-28,216.9871
2021-03-31,202.3066
2021-04-30,194.19
2021-05-31,195.3646
2021-06-30,205.7227
2021-07-31,216.5616
2021-08-31,228.0104
2021-09-30,222.802
2021-10-31,232.1137
2021-11-30,243.6303
2021-12-31,273.7676
2022-01-31,270.0765
2022-02-28,276.9225
2022-03-31,277.2637
2022-04-30,273.3929
2022-05-31,258.111
2022-06-30,230.1272
2022-07-31,240.3185
2022-08-31,262.6962
2022-09-30,258.904
2022-10-31,296.3876
2022-11-30,361.2697
2022-12-31,397.5158
2023-01-31,439.2782
2023-02-28,446.4709
2023-03-31,407.6542
2023-04-30,447.7296
2023-05-31,468.9775
2023-06-30,469.635
2023-07-31,482.8996
2023-08-31,520.6712
2023-09-30,585.8923
2023-10-31,701.2164
2023-11-30,782.013
2023-12-31,790.2727
2024-01-31,909.2881
2024-02-29,1002.585
2024-03-31,929.9284
2024-04-30,839.7422
2024-05-31,889.0007
2024-06-30,928.6008
2024-07-31,988.943
2024-08-31,1002.1943
2024-09-30,1045.1384
2024-10-31,986.0746
2024-11-30,983.8736
2024-12-31,945.4223
2025-01-31,968.432
2025-02-28,1041.3026
2025-03-31,1060.8878
2025-04-30,1018.8913
2025-05-31,1071.3356
2025-06-30,1061.8931
2025-07-31,1079.9131
2025-08-31,1131.6419
2025-09-30,1185.7361
2025-10-31,1211.3148
2025-11-30,1353.9305
2025-12-31,1372.0041
2026-01-31,1637.4619
2026-02-28,1658.3002
2026-03-31,1593.411
2026-04-30,1804.2707
